confirm,spike,motion,TP,FN,FP,TN,precision,recall,time_s
6.0,0.1,0.01,1,4,0,2,1.0,0.2,188.48
6.0,0.1,0.02,2,3,0,2,1.0,0.4,149.77
6.0,0.1,0.03,2,3,0,2,1.0,0.4,138.35
6.0,0.18,0.01,1,4,0,2,1.0,0.2,144.65
6.0,0.18,0.02,1,4,0,2,1.0,0.2,144.19
6.0,0.18,0.03,2,3,0,2,1.0,0.4,139.22
6.0,0.25,0.01,1,4,0,2,1.0,0.2,148.46
6.0,0.25,0.02,1,4,0,2,1.0,0.2,146.78
6.0,0.25,0.03,2,3,0,2,1.0,0.4,140.75
9.0,0.1,0.01,1,4,0,2,1.0,0.2,147.52
9.0,0.1,0.02,1,4,0,2,1.0,0.2,147.39
9.0,0.1,0.03,1,4,0,2,1.0,0.2,145.6
9.0,0.18,0.01,1,4,0,2,1.0,0.2,149.33
9.0,0.18,0.02,1,4,0,2,1.0,0.2,147.14
9.0,0.18,0.03,1,4,0,2,1.0,0.2,157.75
9.0,0.25,0.01,1,4,0,2,1.0,0.2,164.95
9.0,0.25,0.02,1,4,0,2,1.0,0.2,160.18
9.0,0.25,0.03,1,4,0,2,1.0,0.2,181.82
12.0,0.1,0.01,1,4,0,2,1.0,0.2,207.92
12.0,0.1,0.02,1,4,0,2,1.0,0.2,199.95
12.0,0.1,0.03,2,3,0,2,1.0,0.4,189.41
12.0,0.18,0.01,1,4,0,2,1.0,0.2,149.25
12.0,0.18,0.02,2,3,0,2,1.0,0.4,125.08
12.0,0.18,0.03,1,4,0,2,1.0,0.2,171.19
12.0,0.25,0.01,1,4,0,2,1.0,0.2,198.97
12.0,0.25,0.02,1,4,0,2,1.0,0.2,188.86
12.0,0.25,0.03,1,4,0,2,1.0,0.2,189.97
